,sec_2012,sec_2013,sec_2014,sec_2015,sec_2016,sec_2017,sec_2018,sec_2019,sec_2020,sec_2021,UAA_mj_2012,UAA_mj_2013,UAA_mj_2014,UAA_mj_2015,UAA_mj_2016,UAA_mj_2017,UAA_mj_2018,UAA_mj_2019,UAA_mj_2020,UAA_mj_2021,UAA_teoh_2012,UAA_teoh_2013,UAA_teoh_2014,UAA_teoh_2015,UAA_teoh_2016,UAA_teoh_2017,UAA_teoh_2018,UAA_teoh_2019,UAA_teoh_2020,UAA_teoh_2021,UAA_dd_2012,UAA_dd_2013,UAA_dd_2014,UAA_dd_2015,UAA_dd_2016,UAA_dd_2017,UAA_dd_2018,UAA_dd_2019,UAA_dd_2020,UAA_dd_2021,pct_price_change_2012,pct_price_change_2013,pct_price_change_2014,pct_price_change_2015,pct_price_change_2016,pct_price_change_2017,pct_price_change_2018,pct_price_change_2019,pct_price_change_2020,pct_price_change_2021,ey_2012,ey_2013,ey_2014,ey_2015,ey_2016,ey_2017,ey_2018,ey_2019,ey_2020,ey_2021,cr_2012,cr_2013,cr_2014,cr_2015,cr_2016,cr_2017,cr_2018,cr_2019,cr_2020,cr_2021,dte_2012,dte_2013,dte_2014,dte_2015,dte_2016,dte_2017,dte_2018,dte_2019,dte_2020,dte_2021,roe_2012,roe_2013,roe_2014,roe_2015,roe_2016,roe_2017,roe_2018,roe_2019,roe_2020,roe_2021,at_2012,at_2013,at_2014,at_2015,at_2016,at_2017,at_2018,at_2019,at_2020,at_2021
VRSN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04573541819667294,0.044452838251838704,0.007894412074180526,0.06583801318502949,0.0023965777235248203,0.03997680819506352,0.051397231092544564,0.04997817596508373,0.0848870798429949,0.03108225615232097,0.044851395020522516,0.05051228973473291,0.0037375436934957568,0.06210772929128266,0.007176158496724427,0.04163370154639548,0.048148579993461504,0.04979382180752165,0.08285448255061752,0.027784997577119747,0.0014584813975895006,0.005073929629993319,0.0017137048210750377,0.012364103052201786,0.035186850661103,0.0011020331130154604,0.015109999380367396,0.04225390061290924,0.06069897275980673,0.014959443858827264,8.678611422172455,53.992787223080896,-4.650384744061564,53.263157894736835,-12.923534798534808,50.440383856973845,29.578818594896884,29.934587632342048,12.310566742785966,17.29205175600739,0.05126223596084493,0.06306457009033122,0.04912280701754386,0.03766025641025641,0.05416064151439464,0.039846207619713386,0.034594375885090026,0.026832053145111064,0.03271719038817005,0.02761799700575211,2.3646351605282163,0.8886316976363922,0.7761330573021562,1.3093480951176995,1.2105149384112082,1.5675162509099483,1.389877478656381,1.3247348124571316,1.2318687398413866,1.1813274040471475,-222.22449855197146,-7.281942496659253,-3.439096694156878,-3.2025723833127655,-2.944512512545863,-3.3337742437935973,-2.381840438723498,-2.2442178377290114,-2.2709772277042553,-2.573767630634683,-34.32714791376216,-1.2854201785823902,-0.4021207380929204,-0.35054140933647343,-0.3670221848333535,-0.3628172036014477,-0.42042578929665947,-0.4109113482316623,-0.5861668625620235,-0.6226244903884829,0.42356468632847116,0.3627100757037351,0.4687624573115921,0.44931474545294914,0.4892404260823825,0.3961307471674711,0.6346129336893525,0.6643230965976973,0.7159685552744621,0.6692207339179459
NFG,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01116768173963216,0.0034413940244127084,0.01658204159257147,0.03115068720792835,0.020003656179889223,0.0242707719146359,0.049366022856732944,0.002969598718059456,0.034588889093498,0.025583233725697596,0.012074391203631872,0.012196496529676604,0.025297483088560155,0.036425594633963776,0.006112305796439704,0.02100099771932247,0.04990132773592754,0.008448194227182858,0.01415199654383173,0.03253634955217141,0.007408550490832264,0.009362441735438654,0.04256858951135807,0.03361868817868058,0.01609400874994177,0.005353741098875181,0.05624062715507097,0.006843995857977028,0.017935931228070245,0.018344427009719097,-8.798128823317741,40.856184651805115,-2.619047619047621,-38.51574859772761,32.49122807017544,-3.054378531073454,-6.792933891822983,-9.066041422430636,-11.624409110442624,55.45830294189156,0.052278555928190966,0.04355742296918767,0.05134474327628361,-0.10526315789473684,-0.060557909604519775,0.06046257512292843,0.08909730363423211,0.07584873227331328,-0.034281546316557256,0.0624022521113544,0.48412003610722704,1.4848446740421815,0.7691611493428133,1.149865513067647,1.3598310380361958,1.2666108392836966,1.2375380629914103,0.8525565670434667,0.6836737580319122,0.42264788659472724,2.027986908797788,1.833309716142631,1.7957209637268774,2.308979283513705,2.691140953134373,2.5823176726427532,2.11587907067975,2.0210759575040025,2.5319393748231467,3.179151228917605,0.11227874159160654,0.11846610674939821,0.12420256002137155,-0.18733065408010108,-0.19054174055863643,0.16638855221029097,0.2020930868773002,0.1422564018653358,-0.0627651514767346,0.20358626048731218,0.27410515199130875,0.2942182223024865,0.3135322482931843,0.26273895542900555,0.257685641528873,0.25885599968541717,0.26384025408159645,0.2620382017954686,0.22201082996467303,0.23344941107125755
PRO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.014888649092714923,0.050311254500416874,0.058872307597951506,0.03451343421675174,0.009330026262253738,0.05392110438820241,0.036854768369540214,0.0070956635405675095,0.03296876186763972,0.01473171795647947,0.005222880175174721,0.08056929822081824,0.005751654537622802,0.09495959115929434,0.0006863863589533503,0.04142510764360344,0.06306882694861321,0.023070873144650922,0.10499489420124773,0.047248354827936934,0.008957332242948951,0.041529404819902555,0.0335655734492864,0.07397862648720066,0.003455185732184507,0.06481553566900591,0.042256473303319164,0.027427662236140488,0.07041554211656721,0.012880370845609015,22.91666666666665,118.15199562602517,-31.127819548872182,-16.157205240174676,-6.597222222222221,22.90892193308549,18.714555765595463,90.82802547770703,-15.270360480640853,-32.066180815442195,0.009841443411700382,0.0030075187969924814,-0.04621542940320233,-0.09678819444444445,-0.11477695167286246,-0.09300567107750472,-0.059235668789808925,-0.028704939919893188,-0.0350600748473508,-0.053058857639895624,2.3391218151112416,2.1096120119380943,2.7186319100310006,2.443905319962017,1.7954425615946898,1.9804557706444499,1.2598471337579618,1.967761836295594,2.6656661123054666,1.831239625651525,0.6519753239576401,0.6156617521540301,2.0315962787502904,3.7591222434763787,-68.07542722451375,-7.144937099555122,6.959471028616186,2.111026933986278,3.6136777258473827,136.9695870535713,0.05600604495370422,0.03096053116268205,-0.37014515298134326,-1.1876240661204753,22.164113140836733,1.6587411396581457,-1.1702581103480936,-0.4186828771606584,-0.6577748917009152,-22.658761160714267,0.8041494002553266,0.8054196231954979,0.6191720116618076,0.6379672533956212,0.6732848972563628,0.5847798450203164,0.45088988413312675,0.48768865415823276,0.467476957095844,0.5084563068902268
LEAT,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08842032871831398,0.028561317878637638,0.039434987679442014,0.053636953180488056,0.028400842482521012,0.061802171965566366,0.014583644313707811,0.07608662219944903,0.043585451356973795,0.02662844258070518,0.11731926520718478,0.0030931810534963397,0.050756277146618754,0.035486304966422536,0.029082310788474612,0.09274579082730816,0.02657091308096024,0.022852351136688112,0.06295720263251717,0.05900780985868359,0.01923102871944988,0.049970065781606725,0.019306971579182753,0.011711825543499733,0.03323148368070339,0.006080472544493926,0.0004046988224216466,0.006107830397144805,0.016278954056790737,0.010896083684045932,1150.0,17.999999999999993,161.0169491525424,144.15584415584414,-39.09574468085106,4.8034934497816595,-5.000000000000004,1.7543859649122862,218.96551724137936,339.1891891891892,0.04,-0.11864406779661019,0.051948051948051945,0.02925531914893617,-0.03930131004366812,0.016666666666666666,0.09649122807017545,0.1120689655172414,0.1108108108108108,0.07046153846153846,3.1740602776837115,2.9677086911714183,2.513712544438801,2.676837725381415,2.6534792368125704,2.13529886914378,3.0166083916083917,2.1618684730454416,2.1600151673144374,2.381465862381893,0.3902152641878669,0.4204302607209004,0.5608804680969629,0.4934925533342278,0.5025619720260351,0.6397435897435899,0.4067815330240777,0.6963253124417088,0.7070266753415747,0.7178645050836797,0.010306588388780168,-0.05342641401909104,0.05823349122318194,0.07715014088286595,-0.06301066334302728,0.03038461538461539,0.13220675944333996,0.1283342659951502,0.2878334417696813,0.43932776632542536,1.5804241741741742,1.5893681043129386,1.6645840771153158,1.6643607941784206,1.5225806451612904,1.5823299452697421,1.9185051424982336,1.559489773477018,1.47474939970271,1.4778001505074543
ATHOF,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23333234229524386,0.03847223349181793,0.05869005879554687,0.11858381413725518,0.03591453338074546,0.05567487027719355,0.1379731564673835,0.09117110049093313,0.07454802531599222,0.046579715331854066,0.15393828905107299,0.07946743377038998,0.09548690416075298,0.03995399562507003,0.16082539281557767,0.08661385390485536,0.08295427409813758,0.14263090656694527,0.19587132260662954,0.09469530550113106,0.0677795981726172,0.0592200649040077,0.03403835048307369,0.014439280683245542,0.035628204971993094,0.01259705265457467,0.028804424101213977,0.05455862384017911,0.02169229217152674,0.016053523353705412,-9.12271718723332,-43.169311672457496,-63.352005155405735,-50.85441183101131,40.36697247706422,-44.11764705882353,-17.754385964912277,-34.76393629124005,-69.69961198064263,573.3812949640287,0.06103859517325571,-0.0528759563112411,-0.2569998647369133,-1.587155963302752,-1.5098039215686274,-0.49122807017543857,-1.5784982935153584,1.0245454941797096,-8.920863309352518,0.9188034188034188,6.008392235766515,8.04125912318157,6.325657375640717,12.92342708784076,1.2329089633836445,3.1932504115602707,1.6205429718875501,2.5996320550904675,2.4551081336925655,1.2920815237882446,0.2887271224260923,0.28701254935969844,0.3582649692527557,0.3949422675594447,0.4500618779690667,0.5240435258853083,0.889994192239963,0.7158677181979276,1.5148520788325028,0.6980512866498564,0.07521822575237301,-0.037385775811606375,-0.07191675837008318,-0.2807138195266987,-0.6015900101278211,-0.13735119145224023,-0.5897381745827162,0.20233807790095912,-1.1596049556897845,0.4460295196981556,0.005507290908540394,0.02554092565618649,0.02667804922654668,0.02440647381241332,0.07738119755328764,0.3247633385150105,0.4157949166264068,0.36988055687580157,0.35136158610475293,0.4780547501881316
WINT,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.11101151252761887,0.0778324639182974,0.2386712447555803,0.4723557122115705,0.14034311915166928,0.39282244439657343,0.09746512912902561,0.038286708145499254,0.05480849659079663,0.26193212309019903,0.10666766352246537,0.07038520173554494,0.236863259545532,0.46501547865311543,0.14139665572010449,0.38640949773668576,0.09608093436713694,0.03997852702150047,0.05609273063371107,0.2633617958503628,0.12311152686117421,0.25175999101814095,0.13198960935414925,0.4423203986090548,0.04177234682165265,0.28987380869904084,0.06756480933972697,0.12345860404299835,0.09524859069924344,0.2175615221819704,25.595238095238095,6.635071090047395,-48.44444444444444,-81.5603448275862,484.385226741468,236.00000000000003,19.047619047619047,-15.000000000000002,20.705882352941174,-68.71345029239765,-0.45023696682464454,-0.3644444444444444,-0.4482758620689656,-2.664796633941094,-3.7920000000000003,-5.747619047619048,-1.548,-0.1976470588235294,-0.405458089668616,-1.7009345794392523,2.376784340541927,7.3588359342049765,5.819261719248946,3.6857607517166606,0.5372264954073631,0.19022108843537416,1.243299568652159,3.052449788921581,2.955145979448703,4.771683932561446,0.6961989463547271,0.5267602263209177,1.4740351059951038,4.368618436970721,-1.336420395421436,-1.1399247491638798,0.7529142320227853,0.5877093481016881,0.623030250747642,0.7857501014779972,-2.113805018976944,-0.7728927710637427,-2.2948070211990204,-6.674328574885068,1.3697537287547692,0.7711538461538463,-0.30145050944005636,-0.3666510976179356,-0.46822521279043017,-1.6149566629259091,0.00651237350966837,0.004344077835126572,0.05968546706246447,0.022241251098542036,0.2105371687802866,0.44368090827606815,0.014975125211477579,0.0016642151712544654,0.0,0.0
NM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.020342961727122855,0.0019566858748072888,0.019228733390037493,0.008892360602380925,0.006866767275236066,0.013136756907448366,0.01519021941373691,0.058239458858259006,0.01238933115246968,0.004349615893424413,0.059462211807949944,0.02397468506148958,0.017392503082653842,0.023500121695966898,0.03169587740594761,0.021078867509801546,0.056442503438615704,0.04081243203260006,0.0013552990239416585,0.027055457762846402,0.018726156196947702,0.01619606943380144,0.029630319526080126,0.034984706921691894,0.03218140982363832,0.0037206775944331333,0.05395855816549959,0.04570134796958416,0.014181243070657393,0.014402143215131419,-5.602240896358534,231.15727002967355,-63.17204301075269,-57.420924574209245,-19.428571428571427,-14.893617021276595,-77.16666666666666,1535.036496350365,-49.77678571428572,63.99999999999999,0.5103857566765578,-0.09767025089605735,-0.15815085158150852,-0.8114285714285714,-1.8014184397163122,-1.25,-8.503649635036496,-2.7008928571428568,-6.822222222222222,1.869918699186992,2.484829123014532,2.270099554641543,2.0936422451653054,1.3354683147018374,1.0848230420639995,1.0841765667205774,0.9321113628278818,0.7457662480634608,0.3287161216096305,0.46124821086827167,1.2232617481419672,1.4548281182341396,1.4945630117409254,1.664272361852484,2.42590345627482,3.2613972947223093,4.142033430455449,12.474956767803796,-58.501531371233725,26.140897905287797,0.13263781339779102,-0.09170082441027971,-0.0443762781186094,-0.1207615672206254,-0.3780995155266672,-0.26882643835350073,-0.515101211470633,-1.208049048891683,5.628474754251394,1.7508853010023409,0.2095876132345072,0.17546126832563083,0.18010317817780588,0.16250435563180235,0.15248747227918247,0.17606553051143714,0.19300643877940546,0.22514309180975847,0.21138980127579166,0.323875013959701
MXL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.016617448338675928,0.03410772852234406,0.08934741820770364,0.07614642258689919,0.05570558626212091,0.04299000729926261,0.08093755797578218,0.0485344348457174,0.02954000987988392,0.15058570830138784,0.025762071836186395,0.028808603758276596,0.03548245206090278,0.04034013104563755,0.03097306625897872,0.016514553666966553,0.03676817798518303,0.032508183743971734,0.06306074214752719,0.09275369485755608,0.033385486946220566,0.0471834260867616,0.08879279764499573,0.060021103083277016,0.018095167218281943,0.0959912639239142,0.03544870168235019,0.013898201876200486,0.03175609294622542,0.14402533778923005,5.6842105263157805,107.76892430278883,-28.954937679769888,98.78542510121457,47.99728445349627,21.19266055045872,-33.38380015140046,20.568181818181806,79.9717247879359,97.4076983503535,-0.07968127490039842,-0.03547459252157239,-0.02564102564102564,-0.05363204344874406,0.04403669724770642,-0.005299015897047691,-0.021590909090909088,-0.013195098963242226,-0.03534956794972506,0.007295397267542115,3.3150027056277054,2.522094838258248,3.0353726764121998,3.4031021636337586,3.9242982600883707,2.635352027858508,2.5594257939263394,2.730837414741144,1.5480461009753448,1.948475131994503,0.3784477708673489,0.4413664997577128,0.36940727735060847,0.2722497756005538,0.19927133225887,1.1290937061204263,0.8473730796927508,0.701029114046081,1.61415893453877,1.1471551396367117,-0.16516894544638744,-0.14690680019382973,-0.07104801114003753,-0.16100089759778494,0.17391551086191634,-0.023713037911951763,-0.06550798127700432,-0.047956232526752136,-0.2520805794685478,0.08579143823155451,0.8836406050797038,0.9577119804048699,0.9808490100286638,0.8979237978505553,0.9176154377596699,0.5095615993948078,0.5210893966279163,0.44939649272943405,0.46809109954403283,0.8495921491568798
CRWS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03287174782643201,0.03251360636067417,0.010772100217681333,0.047707157635228856,0.029949226225603046,0.013658450114374792,0.044782290670907034,0.003496520011904952,0.022505194774127026,0.06446952800026895,0.029200235009410207,0.032577346773308445,0.006353937510934819,0.058493549221195325,0.013945166045142773,0.021009919860721794,0.05513938470040994,0.02903161298006062,0.015339955054584659,0.05525514081543192,0.004482567888354383,0.015179551039768237,0.007282623752403097,0.02535264506933141,0.00197990004164475,0.011009924960545224,0.03652405100121382,0.010037066293786187,0.037584488887837664,0.0018107565710079737,51.97568389057749,55.399999999999984,0.02574002574002865,9.238291302110134,-8.716136631330984,-16.774193548387096,-16.279069767441857,13.888888888888884,17.07317073170731,1.1111111111111072,0.10400000000000001,0.07593307593307594,0.07334019557385485,0.0800942285041225,0.07225806451612904,0.046511627906976744,0.09259259259259259,0.1056910569105691,0.08333333333333333,0.13598901098901098,3.1034270108360493,3.6967372305302004,4.0986119144013875,3.7531391054575294,5.428495972534002,5.856511490866234,5.0160809233562444,5.717085970057107,3.2033060404758227,3.946037671814017,0.3459405095696697,0.28671659659771137,0.26215505913272014,0.30975286738799074,0.21223954988053334,0.4390609898774099,0.32354788827679515,0.34727589782260343,0.38736414666188934,0.31339927075828033,0.15576618310374254,0.16067600300693263,0.1444961083594461,0.17064394412653988,0.1431544331115279,0.07683503738745613,0.12126703392287619,0.15460929399566406,0.1452525976352562,0.2165454902731381,1.7756040124085775,1.7590392729633233,1.7214191326632764,1.609119526853,1.398312987453374,1.241936339053746,1.3943481991274027,1.2837528203872457,1.362969594710926,1.4522483584074475
PERI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.006414626961739611,0.0648380655137995,0.046796337596590826,0.10212808886615915,0.0929141385629432,0.15178675168927488,0.04706777499677478,0.021558335120017952,0.07255023508828394,0.051313926071976934,0.01499742677153948,0.0725306082543109,0.04015212438987378,0.09444415675486713,0.07379265903865659,0.15441442665225202,0.044351940346748935,0.009799588451124733,0.08499936250981975,0.018533975967873123,0.012886250954732115,0.024465132182763916,0.008415588742105351,0.010392994891086443,0.00865586898635358,0.1748458699679742,0.05709758822516223,0.012534398275188818,0.06319757553043925,0.019804151573820164,126.3291139240506,35.23489932885906,-63.606286186931335,-17.500000000000004,-60.88154269972452,-27.464788732394364,152.42718446601944,139.23076923076923,104.6623794212219,88.92380204241948,0.039149888143176735,0.0024813895781637717,0.14318181818181816,-0.2644628099173554,0.028169014084507043,-0.9126213592233009,0.11923076923076922,0.08038585209003216,0.029850746268656716,0.04698544698544698,0.9173655458952066,0.9433045891565071,2.425256003901012,1.3507057444314186,1.3119363395225465,1.404264470935234,1.3472650880514563,1.3817040380275603,1.226836395727357,2.3033292550088538,1.2511241089380367,1.0306699664132932,0.4477371675264332,1.2132938344750974,0.7701783380736412,0.980937165659428,0.723647508754478,0.717965637902435,0.9480616113229272,0.5273942093541203,0.06459513800036555,0.005479936362029344,0.17409155396204018,-0.3435650054794658,0.0009656776078099778,-0.5259375993985484,0.054583582581109145,0.07805329878558197,0.055533830829558664,0.08288932670892583,0.48898578260622444,0.7586332970620239,1.0915148298838375,0.49955007709734156,0.8489409746724131,0.9998503797071092,0.9859580574467918,0.921322023983621,0.9146372403333324,0.6708868923435852
